name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Rome,01/05/2021 04:00:00 AM,,centro_sud,100,overcast clouds,1010,77,288.6,0.0,0.0,61,1.14
Catanzaro,01/05/2021 04:00:00 AM,,calabria,100,overcast clouds,1013,56,293.01,0.0,0.0,296,2.3
Bari,01/05/2021 04:00:00 AM,,sud,100,overcast clouds,1009,71,291.34,0.0,0.0,159,2.54
Potenza,01/05/2021 04:00:00 AM,,sud,100,overcast clouds,1011,42,288.85,0.0,0.0,191,3.21
Florence,01/05/2021 04:00:00 AM,,centro_nord,100,overcast clouds,1010,89,286.06,0.0,0.0,67,1.32
Provincia di Ancona,01/05/2021 04:00:00 AM,,centro_nord,88,overcast clouds,1010,86,287.04,0.0,0.0,258,1.2
Sardinia,01/05/2021 04:00:00 AM,,sardegna,100,overcast clouds,1008,69,288.27,0.0,0.0,64,2.06
Valle d'Aosta,01/05/2021 04:00:00 AM,,nord,100,overcast clouds,1012,89,275.9,0.0,0.0,8,0.47
Provincia di Perugia,01/05/2021 04:00:00 AM,,centro_nord,100,overcast clouds,1010,86,286.93,0.0,0.0,85,1.48
Province of Palermo,01/05/2021 04:00:00 AM,,sicilia,100,overcast clouds,1012,40,292.73,0.0,0.0,169,1.87
Bologna,01/05/2021 04:00:00 AM,,nord,100,overcast clouds,1010,82,286.0,0.0,0.0,271,1.63
Venice,01/05/2021 04:00:00 AM,,nord,99,overcast clouds,1010,95,286.95,0.31,0.0,27,3.72
Trieste,01/05/2021 04:00:00 AM,,nord,100,overcast clouds,1011,91,286.46,0.24,0.0,92,2.17
Milan,01/05/2021 04:00:00 AM,,nord,99,overcast clouds,1010,93,286.21,0.14,0.0,244,1.39
Trento,01/05/2021 05:00:00 AM,,nord,54,broken clouds,1012,93,284.08,0.12,0.0,81,0.4
Sardinia,01/05/2021 05:00:00 AM,,sardegna,100,overcast clouds,1008,67,288.26,0.0,0.0,139,1.57
Bari,01/05/2021 05:00:00 AM,,sud,100,overcast clouds,1009,75,290.88,0.0,0.0,165,1.89
Bologna,01/05/2021 05:00:00 AM,,nord,100,overcast clouds,1011,82,285.87,0.0,0.0,279,1.98
Naples,01/05/2021 05:00:00 AM,,sud,100,overcast clouds,1010,59,291.8,0.0,0.0,164,1.97
Provincia di Perugia,01/05/2021 05:00:00 AM,,centro_nord,100,overcast clouds,1010,86,286.71,0.0,0.0,193,0.15
Province of Turin,01/05/2021 05:00:00 AM,,nord,100,overcast clouds,1011,88,280.67,0.0,0.0,300,1.12
Valle d'Aosta,01/05/2021 05:00:00 AM,,nord,100,overcast clouds,1011,90,275.91,0.0,0.0,75,0.95
Provincia di Campobasso,01/05/2021 05:00:00 AM,,centro_sud,100,overcast clouds,1010,58,287.6,0.0,0.0,226,2.81
Florence,01/05/2021 05:00:00 AM,,centro_nord,100,overcast clouds,1011,89,285.87,0.0,0.0,94,0.37
Trieste,01/05/2021 05:00:00 AM,,nord,100,overcast clouds,1010,92,286.36,0.24,0.0,90,2.11
