Date,Renewable Generation [GWh],Energy Source
2021-01-02 19:00:00,0.00,Photovoltaic
2021-01-02 19:00:00,4.18,Wind
2021-01-02 20:00:00,1.90,Biomass
2021-01-02 20:00:00,0.62,Geothermal
2021-01-02 20:00:00,5.97,Hydro
2021-01-02 20:00:00,0.00,Photovoltaic
2021-01-02 20:00:00,3.88,Wind
2021-01-02 21:00:00,1.95,Biomass
2021-01-02 21:00:00,0.62,Geothermal
2021-01-02 21:00:00,4.91,Hydro
2021-01-02 21:00:00,0.00,Photovoltaic
2021-01-02 21:00:00,3.50,Wind
2021-01-02 22:00:00,1.85,Biomass
2021-01-02 22:00:00,0.62,Geothermal
2021-01-02 22:00:00,4.19,Hydro
2021-01-02 22:00:00,0.00,Photovoltaic
2021-01-02 22:00:00,3.37,Wind
2021-01-02 23:00:00,1.71,Biomass
2021-01-02 23:00:00,0.62,Geothermal
2021-01-02 23:00:00,3.97,Hydro
2021-01-02 23:00:00,0.00,Photovoltaic
2021-01-02 23:00:00,3.09,Wind
2021-01-03 00:00:00,1.46,Biomass
2021-01-03 00:00:00,0.62,Geothermal
2021-01-03 00:00:00,3.37,Hydro
2021-01-03 00:00:00,0.00,Photovoltaic
2021-01-03 00:00:00,3.00,Wind
2021-01-03 01:00:00,1.32,Biomass
2021-01-03 01:00:00,0.62,Geothermal
2021-01-03 01:00:00,3.32,Hydro
2021-01-03 01:00:00,0.00,Photovoltaic
2021-01-03 01:00:00,3.22,Wind
2021-01-03 02:00:00,1.29,Biomass
2021-01-03 02:00:00,0.62,Geothermal
2021-01-03 02:00:00,3.07,Hydro
2021-01-03 02:00:00,0.00,Photovoltaic
2021-01-03 02:00:00,3.28,Wind
2021-01-03 03:00:00,1.29,Biomass
2021-01-03 03:00:00,0.62,Geothermal
2021-01-03 03:00:00,2.99,Hydro
2021-01-03 03:00:00,0.00,Photovoltaic
2021-01-03 03:00:00,3.01,Wind
2021-01-03 04:00:00,1.38,Biomass
2021-01-03 04:00:00,0.62,Geothermal
2021-01-03 04:00:00,3.18,Hydro
2021-01-03 04:00:00,0.00,Photovoltaic
2021-01-03 04:00:00,2.78,Wind
2021-01-03 05:00:00,1.43,Biomass
2021-01-03 05:00:00,0.62,Geothermal
2021-01-03 05:00:00,3.14,Hydro
2021-01-03 05:00:00,0.00,Photovoltaic
2021-01-03 05:00:00,3.19,Wind
2021-01-03 06:00:00,1.44,Biomass
2021-01-03 06:00:00,0.62,Geothermal
2021-01-03 06:00:00,3.11,Hydro
2021-01-03 06:00:00,0.00,Photovoltaic
2021-01-03 06:00:00,3.48,Wind
2021-01-03 07:00:00,1.47,Biomass
2021-01-03 07:00:00,0.62,Geothermal
2021-01-03 07:00:00,3.39,Hydro
2021-01-03 07:00:00,0.07,Photovoltaic
2021-01-03 07:00:00,3.11,Wind
2021-01-03 08:00:00,1.47,Biomass
2021-01-03 08:00:00,0.62,Geothermal
2021-01-03 08:00:00,3.68,Hydro
2021-01-03 08:00:00,0.70,Photovoltaic
2021-01-03 08:00:00,3.27,Wind
2021-01-03 09:00:00,1.50,Biomass
2021-01-03 09:00:00,0.62,Geothermal
2021-01-03 09:00:00,3.82,Hydro
2021-01-03 09:00:00,2.08,Photovoltaic
2021-01-03 09:00:00,3.61,Wind
2021-01-03 10:00:00,1.49,Biomass
2021-01-03 10:00:00,0.62,Geothermal
2021-01-03 10:00:00,4.02,Hydro
2021-01-03 10:00:00,3.54,Photovoltaic
2021-01-03 10:00:00,3.16,Wind
2021-01-03 11:00:00,1.63,Biomass
2021-01-03 11:00:00,0.62,Geothermal
2021-01-03 11:00:00,4.09,Hydro
2021-01-03 11:00:00,4.95,Photovoltaic
2021-01-03 11:00:00,3.06,Wind
2021-01-03 12:00:00,1.64,Biomass
2021-01-03 12:00:00,0.62,Geothermal
2021-01-03 12:00:00,4.10,Hydro
2021-01-03 12:00:00,4.63,Photovoltaic
2021-01-03 12:00:00,4.00,Wind
2021-01-03 13:00:00,1.53,Biomass
2021-01-03 13:00:00,0.62,Geothermal
2021-01-03 13:00:00,3.73,Hydro
2021-01-03 13:00:00,3.49,Photovoltaic
2021-01-03 13:00:00,4.19,Wind
2021-01-03 14:00:00,1.48,Biomass
2021-01-03 14:00:00,0.62,Geothermal
2021-01-03 14:00:00,3.73,Hydro
2021-01-03 14:00:00,2.65,Photovoltaic
2021-01-03 14:00:00,3.66,Wind
2021-01-03 15:00:00,1.63,Biomass
2021-01-03 15:00:00,0.62,Geothermal
2021-01-03 15:00:00,3.93,Hydro
2021-01-03 15:00:00,1.21,Photovoltaic
2021-01-03 15:00:00,3.67,Wind
2021-01-03 16:00:00,1.73,Biomass
2021-01-03 16:00:00,0.62,Geothermal
2021-01-03 16:00:00,4.70,Hydro
2021-01-03 16:00:00,0.10,Photovoltaic
2021-01-03 16:00:00,4.02,Wind
2021-01-03 17:00:00,1.87,Biomass
2021-01-03 17:00:00,0.62,Geothermal
2021-01-03 17:00:00,5.22,Hydro
2021-01-03 17:00:00,0.00,Photovoltaic
2021-01-03 17:00:00,3.50,Wind
2021-01-03 18:00:00,1.90,Biomass
2021-01-03 18:00:00,0.62,Geothermal
2021-01-03 18:00:00,6.02,Hydro
2021-01-03 18:00:00,0.00,Photovoltaic
2021-01-03 18:00:00,3.20,Wind
2021-01-03 19:00:00,1.88,Biomass
