name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Valle d'Aosta,26/04/2021 23:15:00 PM,26/04/2021 21:15 PM,nord,100,overcast clouds,1004,81,6.43,0,0,112,1.9
Provincia di Genova,26/04/2021 23:15:00 PM,26/04/2021 21:15 PM,nord,100,overcast clouds,1009,78,13.02,0,0,46,3.13
Province of Turin,26/04/2021 23:15:00 PM,26/04/2021 21:15 PM,nord,100,light rain,1009,95,9.4,{'1h': 0.65},0,90,0.45
Milan,26/04/2021 23:10:21 PM,26/04/2021 21:15 PM,nord,75,broken clouds,1012,87,12.25,0,0,90,2.57
Trento,26/04/2021 23:15:01 PM,26/04/2021 21:15 PM,nord,90,fog,1012,93,7.72,0,0,190,2.06
Venice,26/04/2021 23:15:01 PM,26/04/2021 21:15 PM,nord,20,few clouds,1013,76,12.2,0,0,0,1.03
Bologna,26/04/2021 23:15:01 PM,26/04/2021 21:15 PM,nord,75,light rain,1011,87,12.56,{'1h': 0.37},0,40,3.6
Trieste,26/04/2021 23:15:02 PM,26/04/2021 21:15 PM,nord,90,overcast clouds,1013,82,11.22,0,0,56,2.24
Provincia di Perugia,26/04/2021 23:15:02 PM,26/04/2021 21:15 PM,centro_nord,20,few clouds,1010,62,13.29,0,0,330,2.06
Florence,26/04/2021 23:15:02 PM,26/04/2021 21:15 PM,centro_nord,40,moderate rain,1010,77,14.25,{'1h': 1.78},0,340,2.57
Provincia di Ancona,26/04/2021 23:15:03 PM,26/04/2021 21:15 PM,centro_nord,90,overcast clouds,1011,88,13.21,0,0,70,2.57
L'Aquila,26/04/2021 23:15:03 PM,26/04/2021 21:15 PM,centro_sud,100,overcast clouds,1013,52,10.13,0,0,210,3.6
Rome,26/04/2021 23:15:03 PM,26/04/2021 21:15 PM,centro_sud,0,clear sky,1009,51,15.28,0,0,80,1.54
L'Aquila,26/04/2021 23:15:03 PM,26/04/2021 21:15 PM,centro_sud,100,overcast clouds,1013,52,10.13,0,0,210,3.6
Rome,26/04/2021 23:15:03 PM,26/04/2021 21:15 PM,centro_sud,0,clear sky,1009,51,15.28,0,0,80,1.54
