name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Perugia,27/04/2021 17:00:00 PM,,centro_nord,95,light rain,1006,75,288.52,0.11,0.0,358,2.48
Provincia di Ancona,27/04/2021 18:00:00 PM,,centro_nord,100,overcast clouds,1007,92,285.01,0.0,0.0,355,3.21
Trieste,27/04/2021 18:00:00 PM,,nord,100,light rain,1009,89,283.14,0.69,0.0,65,3.53
L'Aquila,27/04/2021 18:00:00 PM,,centro_sud,82,light rain,1004,74,288.22,0.49,0.0,191,1.05
Milan,27/04/2021 18:00:00 PM,,nord,100,overcast clouds,1009,79,284.63,0.0,0.0,97,2.07
Florence,27/04/2021 18:00:00 PM,,centro_nord,100,overcast clouds,1006,91,286.22,0.0,0.0,22,1.74
Province of Turin,27/04/2021 18:00:00 PM,,nord,100,light rain,1009,95,280.63,0.13,0.0,104,1.35
Valle d'Aosta,27/04/2021 18:00:00 PM,,nord,100,overcast clouds,1007,87,277.03,0.0,0.0,102,1.87
Rome,27/04/2021 18:00:00 PM,,centro_sud,99,light rain,1005,82,290.91,0.36,0.0,205,4.09
Trento,27/04/2021 18:00:00 PM,,nord,100,overcast clouds,1009,92,284.23,0.0,0.0,176,0.67
Provincia di Perugia,27/04/2021 18:00:00 PM,,centro_nord,100,overcast clouds,1005,81,287.56,0.11,0.0,0,2.6
Bari,27/04/2021 18:00:00 PM,,sud,68,broken clouds,1005,67,292.37,0.0,0.0,161,4.87
Provincia di Campobasso,27/04/2021 18:00:00 PM,,centro_sud,81,broken clouds,1005,74,290.29,0.0,0.0,223,1.74
Bologna,27/04/2021 18:00:00 PM,,nord,100,light rain,1008,94,284.84,0.27,0.0,67,2.78
Naples,27/04/2021 18:00:00 PM,,sud,67,broken clouds,1006,78,290.36,0.0,0.0,175,4.83
Catanzaro,27/04/2021 18:00:00 PM,,calabria,61,broken clouds,1006,62,292.86,0.0,0.0,230,2.07
Provincia di Genova,27/04/2021 18:00:00 PM,,nord,100,overcast clouds,1007,87,282.41,0.13,0.0,352,2.09
Potenza,27/04/2021 18:00:00 PM,,sud,11,few clouds,1005,63,290.69,0.0,0.0,247,2.46
Venice,27/04/2021 18:00:00 PM,,nord,100,overcast clouds,1009,70,286.46,0.0,0.0,49,3.19
