name,date,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
L'Aquila,08/05/2021 17:00:00 PM,centro_sud,89,overcast clouds,1018,74,290.38,0.0,0,79,1.38,170.41,2.97,168.51,632.41,632.41,632.41
Milan,08/05/2021 17:00:00 PM,nord,66,broken clouds,1019,50,290.45,0.0,0,109,2.28,164.59,0.59,164.2,658.38,658.38,658.38
Florence,08/05/2021 17:00:00 PM,centro_nord,71,broken clouds,1017,48,294.87,0.0,0,357,2.49,395.33,141.96,302.76,645.5,645.5,645.5
Province of Turin,08/05/2021 17:00:00 PM,nord,82,broken clouds,1019,71,285.88,0.0,0,93,1.4,260.39,29.2,240.51,683.14,683.14,683.14
Valle d'Aosta,08/05/2021 17:00:00 PM,nord,78,broken clouds,1016,46,286.1,2.12,0,8,1.09,399.66,176.59,280.2,683.31,683.31,683.31
Rome,08/05/2021 17:00:00 PM,centro_sud,30,scattered clouds,1016,56,295.43,2.12,0,238,4.08,582.36,638.49,169.3,638.75,638.75,638.75
Trento,08/05/2021 17:00:00 PM,nord,87,overcast clouds,1018,48,291.73,2.12,0,193,2.53,160.02,1.73,158.91,640.09,640.09,640.09
Provincia di Perugia,08/05/2021 17:00:00 PM,centro_nord,62,broken clouds,1017,61,293.97,2.12,0,20,3.61,456.55,287.67,271.66,635.08,635.08,635.08
Bari,08/05/2021 17:00:00 PM,sud,32,scattered clouds,1018,57,292.34,0.0,0,357,4.77,571.14,753.89,114.61,590.41,590.41,590.41
Provincia di Campobasso,08/05/2021 17:00:00 PM,centro_sud,89,overcast clouds,1018,78,291.47,2.12,0,64,2.48,154.64,0.9,154.07,618.57,618.57,618.57
Bologna,08/05/2021 17:00:00 PM,nord,92,overcast clouds,1019,62,290.97,0.0,0,94,2.13,166.66,1.15,165.92,639.85,639.85,639.85
Naples,08/05/2021 17:00:00 PM,sud,10,clear sky,1017,55,294.35,0.0,0,247,2.69,621.78,827.42,98.25,621.86,621.86,621.86
Catanzaro,08/05/2021 17:00:00 PM,calabria,13,few clouds,1016,58,294.71,0.0,0,277,3.22,600.66,818.12,99.14,600.69,600.69,600.69
Provincia di Genova,08/05/2021 17:00:00 PM,nord,45,scattered clouds,1018,62,289.37,2.12,0,303,1.62,595.55,636.66,169.51,666.88,666.88,666.88
Potenza,08/05/2021 17:00:00 PM,sud,84,broken clouds,1018,59,291.34,0.0,0,40,3.1,193.3,7.21,188.84,607.74,607.74,607.74
Venice,08/05/2021 17:00:00 PM,nord,79,broken clouds,1020,51,289.65,2.62,0,163,1.67,186.17,5.1,182.94,625.27,625.27,625.27
Sardinia,08/05/2021 17:00:00 PM,sardegna,2,clear sky,1018,46,295.62,2.12,0,340,3.86,686.9,830.11,117.29,686.9,686.9,686.9
Province of Palermo,08/05/2021 17:00:00 PM,sicilia,1,clear sky,1010,47,293.36,0.0,0,7,3.64,641.07,821.95,109.35,641.07,641.07,641.07
