Date,DayName,Month,Holiday
2019-12-28,Saturday,December,half
2019-12-29,Sunday,December,yes
2019-12-30,Monday,December,no
2019-12-31,Tuesday,December,no
2020-01-01,Wednesday,January,yes
2020-01-02,Thursday,January,no
2020-01-03,Friday,January,no
2020-01-04,Saturday,January,half
2020-01-05,Sunday,January,yes
2020-01-06,Monday,January,no
2020-01-07,Tuesday,January,no
2020-01-08,Wednesday,January,no
2020-01-09,Thursday,January,no
2020-01-10,Friday,January,yes
2020-01-11,Saturday,January,half
2020-01-12,Sunday,January,yes
2020-01-13,Monday,January,no
2020-01-14,Tuesday,January,no
2020-01-15,Wednesday,January,no
2020-01-16,Thursday,January,no
2020-01-17,Friday,January,no
2020-01-18,Saturday,January,half
2020-01-19,Sunday,January,yes
2020-01-20,Monday,January,no
2020-01-21,Tuesday,January,no
2020-01-22,Wednesday,January,no
2020-01-23,Thursday,January,no
2020-01-24,Friday,January,no
2020-01-25,Saturday,January,half
2020-01-26,Sunday,January,yes
2020-01-27,Monday,January,no
2020-01-28,Tuesday,January,no
2020-01-29,Wednesday,January,no
2020-01-30,Thursday,January,no
2020-01-31,Friday,January,no
2020-02-01,Saturday,February,half
2020-02-02,Sunday,February,yes
2020-02-03,Monday,February,no
2020-02-04,Tuesday,February,no
2020-02-05,Wednesday,February,no
2020-02-06,Thursday,February,yes
2020-02-07,Friday,February,no
2020-02-08,Saturday,February,half
2020-02-09,Sunday,February,yes
2020-02-10,Monday,February,no
2020-02-11,Tuesday,February,no
2020-02-12,Wednesday,February,no
2020-02-13,Thursday,February,no
2020-02-14,Friday,February,no
2020-02-15,Saturday,February,half
2020-02-16,Sunday,February,yes
2020-02-17,Monday,February,no
2020-02-18,Tuesday,February,no
2020-02-19,Wednesday,February,no
2020-02-20,Thursday,February,no
2020-02-21,Friday,February,no
2020-02-22,Saturday,February,half
2020-02-23,Sunday,February,yes
2020-02-24,Monday,February,no
2020-02-25,Tuesday,February,no
2020-02-26,Wednesday,February,no
2020-02-27,Thursday,February,no
2020-02-28,Friday,February,no
2020-02-29,Saturday,February,half
2020-03-01,Sunday,March,yes
2020-03-02,Monday,March,no
2020-03-03,Tuesday,March,no
2020-03-04,Wednesday,March,no
2020-03-05,Thursday,March,no
2020-03-06,Friday,March,no
2020-03-07,Saturday,March,half
2020-03-08,Sunday,March,yes
2020-03-09,Monday,March,no
2020-03-10,Tuesday,March,no
2020-03-11,Wednesday,March,no
2020-03-12,Thursday,March,no
2020-03-13,Friday,March,no
2020-03-14,Saturday,March,half
2020-03-15,Sunday,March,yes
2020-03-16,Monday,March,no
2020-03-17,Tuesday,March,no
2020-03-18,Wednesday,March,no
2020-03-19,Thursday,March,no
2020-03-20,Friday,March,no
2020-03-21,Saturday,March,half
2020-03-22,Sunday,March,yes
2020-03-23,Monday,March,no
2020-03-24,Tuesday,March,no
2020-03-25,Wednesday,March,no
2020-03-26,Thursday,March,no
2020-03-27,Friday,March,no
2020-03-28,Saturday,March,half
2020-03-29,Sunday,March,yes
2020-03-30,Monday,March,no
2020-03-31,Tuesday,March,no
2020-04-01,Wednesday,April,no
2020-04-02,Thursday,April,no
2020-04-03,Friday,April,no
2020-04-04,Saturday,April,half
2020-04-05,Sunday,April,yes
2020-04-06,Monday,April,no
2020-04-07,Tuesday,April,no
2020-04-08,Wednesday,April,no
2020-04-09,Thursday,April,no
2020-04-10,Friday,April,no
2020-04-11,Saturday,April,half
2020-04-12,Sunday,April,yes
2020-04-13,Monday,April,no
2020-04-14,Tuesday,April,no
2020-04-15,Wednesday,April,no
2020-04-16,Thursday,April,no
2020-04-17,Friday,April,no
2020-04-18,Saturday,April,half
2020-04-19,Sunday,April,yes
2020-04-20,Monday,April,no
2020-04-21,Tuesday,April,no
2020-04-22,Wednesday,April,no
2020-04-23,Thursday,April,no
2020-04-24,Friday,April,no
2020-04-25,Saturday,April,half
2020-04-26,Sunday,April,yes
2020-04-27,Monday,April,no
2020-04-28,Tuesday,April,no
2020-04-29,Wednesday,April,no
2020-04-30,Thursday,April,no
2020-05-01,Friday,May,no
2020-05-02,Saturday,May,half
2020-05-03,Sunday,May,yes
2020-05-04,Monday,May,no
2020-05-05,Tuesday,May,no
2020-05-06,Wednesday,May,no
2020-05-07,Thursday,May,no
2020-05-08,Friday,May,no
2020-05-09,Saturday,May,half
2020-05-10,Sunday,May,yes
2020-05-11,Monday,May,no
2020-05-12,Tuesday,May,no
2020-05-13,Wednesday,May,no
2020-05-14,Thursday,May,no
2020-05-15,Friday,May,no
2020-05-16,Saturday,May,half
2020-05-17,Sunday,May,yes
2020-05-18,Monday,May,no
2020-05-19,Tuesday,May,no
2020-05-20,Wednesday,May,no
2020-05-21,Thursday,May,no
2020-05-22,Friday,May,no
2020-05-23,Saturday,May,half
2020-05-24,Sunday,May,yes
2020-05-25,Monday,May,no
2020-05-26,Tuesday,May,no
2020-05-27,Wednesday,May,no
2020-05-28,Thursday,May,no
2020-05-29,Friday,May,no
2020-05-30,Saturday,May,half
2020-05-31,Sunday,May,yes
2020-06-01,Monday,June,yes
2020-06-02,Tuesday,June,no
2020-06-03,Wednesday,June,no
2020-06-04,Thursday,June,no
2020-06-05,Friday,June,no
2020-06-06,Saturday,June,half
2020-06-07,Sunday,June,yes
2020-06-08,Monday,June,no
2020-06-09,Tuesday,June,no
2020-06-10,Wednesday,June,no
2020-06-11,Thursday,June,no
2020-06-12,Friday,June,no
2020-06-13,Saturday,June,half
2020-06-14,Sunday,June,yes
2020-06-15,Monday,June,no
2020-06-16,Tuesday,June,no
2020-06-17,Wednesday,June,no
2020-06-18,Thursday,June,no
2020-06-19,Friday,June,no
2020-06-20,Saturday,June,half
2020-06-21,Sunday,June,yes
2020-06-22,Monday,June,no
2020-06-23,Tuesday,June,no
2020-06-24,Wednesday,June,no
2020-06-25,Thursday,June,no
2020-06-26,Friday,June,no
2020-06-27,Saturday,June,half
2020-06-28,Sunday,June,yes
2020-06-29,Monday,June,no
2020-06-30,Tuesday,June,no
2020-07-01,Wednesday,July,no
2020-07-02,Thursday,July,no
2020-07-03,Friday,July,no
2020-07-04,Saturday,July,half
2020-07-05,Sunday,July,yes
2020-07-06,Monday,July,no
2020-07-07,Tuesday,July,no
2020-07-08,Wednesday,July,no
2020-07-09,Thursday,July,no
2020-07-10,Friday,July,no
2020-07-11,Saturday,July,half
2020-07-12,Sunday,July,yes
2020-07-13,Monday,July,no
2020-07-14,Tuesday,July,no
2020-07-15,Wednesday,July,no
2020-07-16,Thursday,July,no
2020-07-17,Friday,July,no
2020-07-18,Saturday,July,half
2020-07-19,Sunday,July,yes
2020-07-20,Monday,July,no
2020-07-21,Tuesday,July,no
2020-07-22,Wednesday,July,no
2020-07-23,Thursday,July,no
2020-07-24,Friday,July,no
2020-07-25,Saturday,July,half
2020-07-26,Sunday,July,yes
2020-07-27,Monday,July,no
2020-07-28,Tuesday,July,no
2020-07-29,Wednesday,July,no
2020-07-30,Thursday,July,no
2020-07-31,Friday,July,no
2020-08-01,Saturday,August,half
2020-08-02,Sunday,August,yes
2020-08-03,Monday,August,no
2020-08-04,Tuesday,August,no
2020-08-05,Wednesday,August,no
2020-08-06,Thursday,August,no
2020-08-07,Friday,August,no
2020-08-08,Saturday,August,half
2020-08-09,Sunday,August,yes
2020-08-10,Monday,August,no
2020-08-11,Tuesday,August,no
2020-08-12,Wednesday,August,yes
2020-08-13,Thursday,August,no
2020-08-14,Friday,August,no
2020-08-15,Saturday,August,half
2020-08-16,Sunday,August,yes
