Date,Renewable Generation [GWh],Energy Source
2021-06-07 19:00:00,2.49,Biomass
2021-06-07 20:00:00,2.41,Biomass
2021-06-07 21:00:00,2.37,Biomass
2021-06-07 22:00:00,2.18,Biomass
2021-06-07 23:00:00,1.97,Biomass
2021-06-08 00:00:00,1.95,Biomass
2021-06-08 01:00:00,1.81,Biomass
2021-06-08 02:00:00,1.75,Biomass
2021-06-08 03:00:00,1.74,Biomass
2021-06-08 04:00:00,1.70,Biomass
2021-06-08 05:00:00,1.75,Biomass
2021-06-08 06:00:00,1.91,Biomass
2021-06-08 07:00:00,2.09,Biomass
2021-06-08 08:00:00,2.24,Biomass
2021-06-08 09:00:00,2.23,Biomass
2021-06-08 10:00:00,2.17,Biomass
2021-06-08 11:00:00,2.18,Biomass
2021-06-08 12:00:00,2.12,Biomass
2021-06-08 13:00:00,2.08,Biomass
2021-06-08 14:00:00,2.07,Biomass
2021-06-08 15:00:00,2.20,Biomass
2021-06-08 16:00:00,2.33,Biomass
2021-06-08 17:00:00,2.38,Biomass
2021-06-08 18:00:00,2.44,Biomass
2021-06-08 19:00:00,2.58,Biomass
2021-06-08 20:00:00,2.61,Biomass
2021-06-08 21:00:00,2.59,Biomass
2021-06-08 22:00:00,2.46,Biomass
2021-06-08 23:00:00,2.23,Biomass
2021-06-09 00:00:00,1.97,Biomass
2021-06-09 01:00:00,1.86,Biomass
2021-06-09 02:00:00,1.82,Biomass
2021-06-09 03:00:00,1.77,Biomass
2021-06-09 04:00:00,1.76,Biomass
2021-06-09 05:00:00,1.79,Biomass
2021-06-09 06:00:00,2.05,Biomass
2021-06-09 07:00:00,2.33,Biomass
2021-06-09 08:00:00,2.41,Biomass
2021-06-09 09:00:00,2.30,Biomass
2021-06-09 10:00:00,2.27,Biomass
2021-06-09 11:00:00,2.32,Biomass
2021-06-09 12:00:00,2.29,Biomass
2021-06-09 13:00:00,2.20,Biomass
2021-06-09 14:00:00,2.22,Biomass
2021-06-09 15:00:00,2.29,Biomass
2021-06-09 16:00:00,2.31,Biomass
2021-06-09 17:00:00,2.37,Biomass
2021-06-09 18:00:00,2.44,Biomass
2021-06-09 19:00:00,2.55,Biomass
2021-06-09 20:00:00,2.46,Biomass
2021-06-09 21:00:00,2.47,Biomass
2021-06-09 22:00:00,2.29,Biomass
2021-06-09 23:00:00,2.04,Biomass
2021-06-10 00:00:00,1.89,Biomass
2021-06-10 01:00:00,1.81,Biomass
2021-06-10 02:00:00,1.77,Biomass
2021-06-10 03:00:00,1.79,Biomass
2021-06-10 04:00:00,1.74,Biomass
2021-06-10 05:00:00,1.77,Biomass
2021-06-10 06:00:00,1.92,Biomass
2021-06-10 07:00:00,2.17,Biomass
2021-06-10 08:00:00,2.24,Biomass
2021-06-10 09:00:00,2.21,Biomass
2021-06-10 10:00:00,2.16,Biomass
2021-06-10 11:00:00,2.12,Biomass
2021-06-10 12:00:00,2.02,Biomass
2021-06-10 13:00:00,2.04,Biomass
2021-06-10 14:00:00,2.12,Biomass
2021-06-10 15:00:00,2.10,Biomass
2021-06-10 16:00:00,2.22,Biomass
2021-06-10 17:00:00,2.27,Biomass
2021-06-10 18:00:00,2.34,Biomass
2021-06-10 19:00:00,2.56,Biomass
2021-06-10 20:00:00,2.53,Biomass
2021-06-10 21:00:00,2.54,Biomass
2021-06-10 22:00:00,2.44,Biomass
2021-06-10 23:00:00,2.14,Biomass
2021-06-11 00:00:00,1.88,Biomass
2021-06-11 01:00:00,1.75,Biomass
2021-06-11 02:00:00,1.68,Biomass
2021-06-11 03:00:00,1.67,Biomass
2021-06-11 04:00:00,1.67,Biomass
2021-06-11 05:00:00,1.75,Biomass
2021-06-11 06:00:00,1.73,Biomass
2021-06-11 07:00:00,1.83,Biomass
2021-06-11 08:00:00,1.88,Biomass
2021-06-11 09:00:00,1.86,Biomass
2021-06-11 10:00:00,1.83,Biomass
2021-06-11 11:00:00,1.91,Biomass
2021-06-11 12:00:00,1.86,Biomass
